NumMol,RefSite_dif,LAT,LON
203,1086,47.53785,4.48595
203,1086,47.53785,4.48595
226,1086,47.53785,4.48595
226,1086,47.53785,4.48595
1200,1086,47.53785,4.48595
1230,1086,47.53785,4.48595
3035,1086,47.53785,4.48595
3035,1086,47.53785,4.48595
3035,1086,47.53785,4.48595
3127,1086,47.53785,4.48595
30000,1086,47.53785,4.48595
30000,1086,47.53785,4.48595
2006,1087,47.53785,4.48595
1019,1088,47.22542,2.32009
236,1089,47.96637,0.16782
329,1090,51.50341,4.88013
11,1091,49.74611,6.36361
80,1091,49.74611,6.36361
134,1091,49.74611,6.36361
199,1091,49.74611,6.36361
207,1091,49.74611,6.36361
1003,1091,49.74611,6.36361
1003,1091,49.74611,6.36361
1003,1091,49.74611,6.36361
1224,1091,49.74611,6.36361
1383,1091,49.74611,6.36361
3087,1091,49.74611,6.36361
3123,1091,49.74611,6.36361
3167,1091,49.74611,6.36361
3182,1091,49.74611,6.36361
25,1092,49.43556,8.49472
25,1092,49.43556,8.49472
25,1092,49.43556,8.49472
26,1092,49.43556,8.49472
26,1092,49.43556,8.49472
30,1092,49.43556,8.49472
31,1092,49.43556,8.49472
33,1092,49.43556,8.49472
37,1092,49.43556,8.49472
37,1092,49.43556,8.49472
38,1092,49.43556,8.49472
48,1092,49.43556,8.49472
50,1092,49.43556,8.49472
53,1092,49.43556,8.49472
54,1092,49.43556,8.49472
56,1092,49.43556,8.49472
56,1092,49.43556,8.49472
63,1092,49.43556,8.49472
63,1092,49.43556,8.49472
67,1092,49.43556,8.49472
67,1092,49.43556,8.49472
68,1092,49.43556,8.49472
68,1092,49.43556,8.49472
71,1092,49.43556,8.49472
86,1092,49.43556,8.49472
86,1092,49.43556,8.49472
92,1092,49.43556,8.49472
93,1092,49.43556,8.49472
93,1092,49.43556,8.49472
93,1092,49.43556,8.49472
93,1092,49.43556,8.49472
93,1092,49.43556,8.49472
93,1092,49.43556,8.49472
94,1092,49.43556,8.49472
98,1092,49.43556,8.49472
100,1092,49.43556,8.49472
100,1092,49.43556,8.49472
100,1092,49.43556,8.49472
104,1092,49.43556,8.49472
104,1092,49.43556,8.49472
104,1092,49.43556,8.49472
107,1092,49.43556,8.49472
108,1092,49.43556,8.49472
108,1092,49.43556,8.49472
109,1092,49.43556,8.49472
109,1092,49.43556,8.49472
112,1092,49.43556,8.49472
112,1092,49.43556,8.49472
112,1092,49.43556,8.49472
112,1092,49.43556,8.49472
112,1092,49.43556,8.49472
113,1092,49.43556,8.49472
117,1092,49.43556,8.49472
118,1092,49.43556,8.49472
118,1092,49.43556,8.49472
118,1092,49.43556,8.49472
118,1092,49.43556,8.49472
118,1092,49.43556,8.49472
120,1092,49.43556,8.49472
126,1092,49.43556,8.49472
158,1092,49.43556,8.49472
158,1092,49.43556,8.49472
162,1092,49.43556,8.49472
175,1092,49.43556,8.49472
175,1092,49.43556,8.49472
175,1092,49.43556,8.49472
176,1092,49.43556,8.49472
176,1092,49.43556,8.49472
180,1092,49.43556,8.49472
187,1092,49.43556,8.49472
195,1092,49.43556,8.49472
236,1092,49.43556,8.49472
240,1092,49.43556,8.49472
283,1092,49.43556,8.49472
283,1092,49.43556,8.49472
293,1092,49.43556,8.49472
293,1092,49.43556,8.49472
303,1092,49.43556,8.49472
304,1092,49.43556,8.49472
321,1092,49.43556,8.49472
322,1092,49.43556,8.49472
331,1092,49.43556,8.49472
333,1092,49.43556,8.49472
336,1092,49.43556,8.49472
1055,1092,49.43556,8.49472
1228,1092,49.43556,8.49472
1243,1092,49.43556,8.49472
1300,1092,49.43556,8.49472
1320,1092,49.43556,8.49472
1320,1092,49.43556,8.49472
1320,1092,49.43556,8.49472
1398,1092,49.43556,8.49472
1404,1092,49.43556,8.49472
1404,1092,49.43556,8.49472
1404,1092,49.43556,8.49472
3022,1092,49.43556,8.49472
3037,1092,49.43556,8.49472
3037,1092,49.43556,8.49472
3098,1092,49.43556,8.49472
20000,1092,49.43556,8.49472
20000,1092,49.43556,8.49472
28,1093,49.74361,8.11862
28,1093,49.74361,8.11862
41,1093,49.74361,8.11862
43,1093,49.74361,8.11862
48,1093,49.74361,8.11862
48,1093,49.74361,8.11862
48,1093,49.74361,8.11862
66,1093,49.74361,8.11862
109,1093,49.74361,8.11862
119,1093,49.74361,8.11862
160,1093,49.74361,8.11862
178,1093,49.74361,8.11862
212,1093,49.74361,8.11862
216,1093,49.74361,8.11862
293,1093,49.74361,8.11862
1039,1093,49.74361,8.11862
1151,1093,49.74361,8.11862
1177,1093,49.74361,8.11862
1177,1093,49.74361,8.11862
1205,1093,49.74361,8.11862
